,Node,Grant Application Academic Year,Grant Awarded
0,100396,2020/21,2
1,113487,2021/22,1
2,115283,2019/20,1
3,123956,2013/14,2
4,123993,2013/14,2
5,126480,2014/15,2
6,141935,2018/19,2
7,144256,2019/20,1
8,147964,2016/17,2
9,154244,2019/20,2
10,159396,2019/20,1
11,159685,2014/15,2
12,165177,2017/18,1
13,165869,2014/15,1
14,167990,2013/14,1
15,168871,2021/22,2
16,171523,2013/14,2
17,172866,2019/20,1
18,176508,2019/20,2
19,177756,2018/19,1
20,180440,2018/19,2
21,180632,2019/20,1
22,180771,2019/20,2
23,182908,2018/19,1
24,195985,2021/22,2
25,197638,2013/14,2
26,205532,2015/16,2
27,209767,2014/15,2
28,212030,2017/18,1
29,212312,2014/15,1
30,213551,2015/16,1
31,223679,2015/16,1
32,226942,2015/16,2
33,233204,2021/22,2
34,235955,2020/21,1
35,236042,2020/21,1
36,242318,2015/16,1
37,245633,2013/14,2
38,246393,2017/18,1
39,247205,2022/23,1
40,248261,2022/23,2
41,248298,2019/20,2
42,248658,2019/20,2
43,254937,2014/15,2
44,256085,2018/19,1
45,257250,2017/18,1
46,264253,2016/17,1
47,272487,2020/21,2
48,273835,2013/14,1
49,279621,2017/18,1
50,282293,2021/22,1
51,285971,2022/23,2
52,288994,2017/18,1
53,302039,2021/22,2
54,314888,2017/18,2
55,319731,2018/19,2
56,330076,2019/20,1
57,335792,2021/22,2
58,341496,2021/22,2
59,342034,2021/22,1
60,342079,2021/22,1
61,342103,2016/17,1
62,344379,2018/19,2
63,352457,2020/21,1
64,355644,2015/16,1
65,359218,2015/16,2
66,364287,2022/23,2
67,367118,2013/14,2
68,367615,2017/18,1
69,367993,2018/19,2
70,375438,2020/21,2
71,388672,2017/18,1
72,392272,2022/23,1
73,397012,2019/20,1
74,401784,2019/20,1
75,402462,2018/19,1
76,404181,2017/18,1
77,406956,2021/22,1
78,416961,2018/19,2
79,423871,2014/15,2
80,424416,2013/14,2
81,426912,2017/18,1
82,427364,2018/19,1
83,437204,2019/20,2
84,449169,2020/21,2
85,451271,2016/17,2
86,452017,2021/22,2
87,453490,2020/21,1
88,454505,2022/23,1
89,454980,2017/18,1
90,458940,2015/16,1
91,461684,2018/19,1
92,462386,2014/15,1
93,469556,2019/20,1
94,474236,2020/21,2
95,484619,2022/23,2
96,486878,2014/15,1
97,495892,2018/19,1
98,496422,2020/21,1
99,501460,2014/15,1
