	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
240	68454489	1	Internal Staff	1	2
241	36428007	1	Internal Staff	1	2
242	61570440	1	Internal Staff	1	2
243	54143168	1	Internal Staff	1	2
244	56034484	1	Internal Staff	1	2
245	54499417	1	Internal Staff	1	2
246	11213945	2	Internal Staff	1	2
247	39108817	1	Internal Staff	1	2
248	40199761	2	Internal Staff	1	2
249	67946093	2	Internal Staff	1	2
250	52527527	1	Internal Staff	1	2
251	55187179	1	Internal Staff	1	2
252	70305156	2	Internal Staff	1	2
253	82290374	2	Internal Staff	1	2
254	89534144	2	Internal Staff	1	2
255	29453815	2	Internal Staff	1	2
256	98621483	2	Internal Staff	1	2
257	43986085	1	Internal Staff	1	2
258	70318894	1	Internal Staff	1	2
259	92856880	2	Internal Staff	1	2
260	39433648	2	Internal Staff	1	2
261	55589090	2	Internal Staff	1	2
262	92996508	2	Internal Staff	1	2
263	94921615	2	Internal Staff	1	2
264	96822852	1	Internal Staff	1	2
265	73948861	2	Internal Staff	1	2
266	40326129	1	Internal Staff	1	2
267	39124998	2	Internal Staff	1	2
268	64040463	2	Internal Staff	1	2
269	81786442	2	Internal Staff	1	2
270	85149798	2	Internal Staff	1	2
271	91744306	1	Internal Staff	1	2
272	40458265	2	Internal Staff	1	2
273	22760083	2	Internal Staff	1	2
274	40786083	2	Internal Staff	1	2
275	98189454	1	Internal Staff	1	2
276	34513296	1	Internal Staff	1	2
277	52491248	2	Internal Staff	1	2
278	88585503	2	Internal Staff	1	2
279	97670495	2	Internal Staff	1	2
280	52111813	2	Internal Staff	1	2
281	89170517	2	Internal Staff	1	2
282	92625594	1	Internal Staff	1	2
283	51656141	2	Internal Staff	1	2
284	87700673	2	Internal Staff	1	2
285	26120352	2	Internal Staff	1	2
286	14981656	2	Internal Staff	1	2
287	19361976	2	Internal Staff	1	2
288	19886748	2	Internal Staff	1	2
289	25696976	2	Internal Staff	1	2
290	32550572	2	Internal Staff	1	2
291	33359265	2	Internal Staff	1	2
292	33868824	2	Internal Staff	1	2
293	35921193	2	Internal Staff	1	2
294	36424914	2	Internal Staff	1	2
295	43637207	2	Internal Staff	1	2
296	47506779	2	Internal Staff	1	2
297	58041365	2	Internal Staff	1	2
298	59869965	2	Internal Staff	1	2
299	60258070	2	Internal Staff	1	2
300	68783781	2	Internal Staff	1	2
301	79037330	2	Internal Staff	1	2
302	82532054	2	Internal Staff	1	2
303	98073039	2	Internal Staff	1	2
304	99235145	2	Internal Staff	1	2
305	13509795	2	Internal Staff	1	2
306	18080421	2	Internal Staff	1	2
307	23856294	2	Internal Staff	1	2
308	31998234	2	Internal Staff	1	2
309	32193502	2	Internal Staff	1	2
310	43611232	2	Internal Staff	1	2
311	65547188	2	Internal Staff	1	2
312	66601412	2	Internal Staff	1	2
313	76167198	2	Internal Staff	1	2
314	78997086	2	Internal Staff	1	2
315	85412481	2	Internal Staff	1	2
316	85623100	2	Internal Staff	1	2
317	91144009	2	Internal Staff	1	2
318	66749136	2	Internal Staff	1	2
319	64833951	2	Internal Staff	1	2
320	88419861	1	Internal Staff	1	2
321	20069049	2	Internal Staff	1	2
322	58418053	2	Internal Staff	1	2
323	98148260	2	Internal Staff	1	2
324	29123782	2	Internal Staff	1	2
325	26340893	1	Internal Staff	1	2
326	65468552	1	Internal Staff	1	2
327	10162360	2	Internal Staff	1	2
328	26537570	1	Internal Staff	1	2
